Ranks,Majors,School Types,Early Pay,Mid Career Pay,High Meaning
627,Human,Bachelors,48600,71600,50%
627,Speech,Bachelors,44100,71600,78%
629,Clinical,Bachelors,55100,71500,83%
629,Forensic,Bachelors,46000,71500,64%
629,Health,Bachelors,42700,71500,66%
632,Geomatics,Bachelors,52300,71400,70%
632,Media,Bachelors,47000,71400,45%
634,Health,Bachelors,45100,71300,-
634,Commercial,Bachelors,43800,71300,23%
636,Fashion,Bachelors,45300,71100,44%
636,Mass,Bachelors,40300,71100,49%
638,Medical,Bachelors,56500,71000,81%
639,Respiratory,Bachelors,54500,70900,82%
640,Theater,Bachelors,44600,70700,50%
641,Forensic,Bachelors,43000,70600,54%
641,Kinesiology,Bachelors,44800,70600,66%
643,Performing,Bachelors,45700,70500,57%
643,Psychology,Bachelors,45800,70500,59%
643,Religion,Bachelors,44400,70500,59%
643,Radio,Bachelors,43100,70500,41%
647,Technology,Bachelors,47700,70400,57%
